Question,Answer
Ja/Nej: Utmattningsgränsen är antalet cykler till brott vid en viss spänning.,"Nej, utmattningsgränsen är inte antalet cykler till brott, utan den maximala spänningsnivån som ett material kan utsättas för ett oändligt antal cykler utan att gå sönder. Antalet cykler till brott vid en viss spänning kallas istället utmattningslivslängd."
Ja/Nej: Krypning är ett fenomen som bara uppstår vid höga temperaturer.,"Ja, krypning är en deformation som sker över tid under konstant belastning och hög temperatur. För de flesta metaller uppträder krypning bara vid temperaturer över ungefär 0,4 gånger deras smälttemperatur (i Kelvin)."
Ja/Nej: När ett material varmvalsas så ökar sträckgränsen.,"Nej, vid varmvalsning sker processen vid höga temperaturer, där rekristallisation kan inträffa. Detta leder till att dislokationer kan ""läkas"", vilket innebär att materialet inte blir starkare. Sträckgränsen ökar snarare vid kallbearbetning, där dislokationsdensiteten ökar."
Ja/Nej: Spröda brott följer alltid korngränserna.,"Nej, spröda brott kan vara både interkristallina (följer korngränserna) och transkristallina (går genom kornen). Det beror på materialets struktur och de förhållanden under vilka brottet sker."
"Ja/Nej: I stål bildar kol cementit, men i gjutjärn förekommer kolet som ren grafit.","Ja, i stål bildar kol cementit (Fe₃C), en hård och spröd fas. I gjutjärn bildas istället grafit, som är ren kol i form av flingor eller klot beroende på gjutjärnets typ, vilket ger det unika egenskaper som skiljer det från stål."
Löslighetsgräns,Den högsta koncentration av ett ämne som kan lösas i en fas.
Utmattningsgräns,Den spänning under vilken inte utmattning sker.
Segt brott,Ett brott som föregås av mycket plasticering. Lång töjning innan brott sker med andra ord.
Strukturbeståndsdel,"En urskiljbar del av materialet som består av en eller flera faser och kan ses som en enhet på
något sätt. Kan vara en fas, eutektikum eller eutektoid."
Fas,En del av materialet med homogena fysikaliska och kemiska egenskaper
Superlegering,"Vanligtvis legeringar med Ni-bas som har excellenta högtemperaturegenskaper, oxidations- och korrosionsmotstånd."
